Variant,Test_Name,Vac_Status,Incubation_Period,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 32,Day 33,Day 34,Day 35,Day 36,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 44,Day 45,Day 46,Day 47,Day 48,Day 49,Day 50,Day 51,Day 52,Day 53,Day 54,Day 55,Day 56,Day 57,Day 58,Day 59,Day 60
Omicron,RT-PCR,Unvaccinated,1,0.478992531,0.920040264,0.792399237,0.655630578,0.530514031,0.424081408,0.336925329,0.267033239,0.211623897,0.167952083,0.133612621,0.106615113,0.085362238,0.068594093,0.05532649,0.044794485,0.036404795,0.029697353,0.024315001,0.019979918,0.016475443,0.013632108,0.011316928,0.009425195,0.007874177,0.006598276,0.005545292,0.004673546,0.003949638,0.003346715,0.002843114,0.002421299,0.002067032,0.001768717,0.001516877,0.001303748,0.001122946,0.000969212,0.000840742,0.000754892,0.000710302,0.00068825,0.000677758,0.00067855,0.000697499,0.000744911,0.000829806,0.000938396,0.001045146,0.001147444,0.001246104,0.001341745,0.001434841,0.001525761,0.001614791,0.001702162,0.001788063,0.001872649,0.00195605,0.002038375
Omicron,RT-PCR,Unvaccinated,2,0.084045884,0.873838264,0.917628596,0.789410834,0.652742332,0.527990624,0.421985331,0.335231186,0.265684469,0.210558679,0.167113942,0.132953825,0.106096913,0.084953868,0.068271434,0.055070762,0.044591115,0.036242483,0.029567334,0.024210462,0.019895555,0.016407113,0.013576563,0.011271616,0.009388104,0.007843713,0.006573172,0.00552454,0.004656337,0.003935326,0.003334777,0.002833127,0.002412922,0.002059987,0.001762777,0.001511856,0.001299493,0.001119332,0.000966136,0.000838341,0.000753557,0.000709639,0.000687921,0.000677059,0.000672001,0.000673507,0.000685496,0.000713378,0.000763709,0.000839696,0.000929709,0.001017923,0.001102963,0.001185365,0.001265536,0.001343794,0.001420386,0.001495515,0.001569343,0.001642006
Omicron,RT-PCR,Unvaccinated,3,0.004877304,0.463481019,0.968394815,0.915190899,0.786419413,0.649860229,0.525476315,0.41989845,0.333545208,0.264342516,0.209498971,0.166280176,0.132298469,0.105581402,0.084547596,0.067950412,0.054816314,0.044388747,0.036080959,0.029437935,0.024106415,0.019811582,0.016339092,0.013521266,0.011226503,0.009351172,0.007813377,0.006548172,0.005503872,0.004639198,0.00392107,0.003322884,0.002823178,0.002404577,0.002052968,0.001756858,0.001506852,0.001295253,0.00111573,0.000963069,0.000835961,0.000752241,0.000708986,0.000687597,0.000676895,0.000671445,0.000669034,0.000670504,0.000678055,0.000694475,0.00072329,0.000768172,0.00083052,0.000904054,0.000977465,0.001048575,0.00111773,0.001185202,0.001251208,0.001315922
Omicron,RT-PCR,Unvaccinated,4,5.36E-05,0.168038165,0.760831533,0.986678499,0.912728492,0.783425276,0.646984381,0.522971127,0.41782075,0.331867364,0.263007349,0.208444747,0.165450761,0.131646533,0.105068566,0.084143412,0.06763102,0.05456314,0.044187377,0.035920218,0.029309154,0.024002855,0.019727996,0.01627138,0.013466215,0.011181588,0.0093144,0.00778317,0.006523277,0.005483289,0.004622128,0.00390687,0.003311039,0.002813268,0.002396263,0.002045975,0.001750961,0.001501867,0.001291028,0.001112142,0.000960014,0.000833604,0.000750944,0.000708344,0.000687278,0.000676733,0.000671361,0.000668593,0.000667475,0.000668672,0.000673409,0.000683133,0.000699618,0.000724954,0.000761198,0.000809401,0.00086757,0.000928754,0.000988501,0.001046771
Omicron,RT-PCR,Unvaccinated,5,2.78E-09,0.046732429,0.467376829,0.890472144,0.98982295,0.91024332,0.780428716,0.644114904,0.520475084,0.415752216,0.330197627,0.26167894,0.20739598,0.164625677,0.130997999,0.10455839,0.083741305,0.067313249,0.054311232,0.043986999,0.035760257,0.029180986,0.02389978,0.019644795,0.016203974,0.013411409,0.011136869,0.009277785,0.007753091,0.006498485,0.005462791,0.004605127,0.003892727,0.003299239,0.002803396,0.002387981,0.002039009,0.001745086,0.0014969,0.001286818,0.001108566,0.000956969,0.00083127,0.000749667,0.000707711,0.000686964,0.000676574,0.00067128,0.000668547,0.000667131,0.000666641,0.000667535,0.000670495,0.000676283,0.00068579,0.00070007,0.000720309,0.000747696,0.000783087,0.000826379
Omicron,RT-PCR,Unvaccinated,6,4.06E-24,0.009754607,0.242383036,0.684579001,0.947331775,0.989116465,0.907735994,0.777430028,0.641251908,0.517988211,0.413692836,0.328535973,0.26035726,0.206352644,0.163804901,0.130352851,0.104050862,0.083341264,0.06699709,0.054060585,0.043787609,0.035601071,0.029053429,0.023797189,0.019561977,0.016136874,0.013356847,0.011092346,0.009241329,0.007723138,0.006473797,0.005442376,0.004588194,0.00387864,0.003287486,0.002793562,0.00237973,0.002032068,0.001739232,0.001491951,0.001282623,0.001105002,0.000953935,0.000828959,0.000748408,0.000707087,0.000686654,0.000676417,0.000671199,0.000668505,0.000667104,0.000666379,0.000666186,0.00066682,0.000668661,0.000672118,0.000677648,0.000685772,0.000697087,0.000712256
Omicron,RT-PCR,Unvaccinated,7,4.65E-24,0.001381798,0.109179301,0.469228578,0.810614796,0.974110176,0.987371461,0.905207126,0.774429488,0.63839549,0.51551052,0.411642588,0.326882367,0.259042277,0.205314711,0.162988409,0.129711068,0.103545964,0.082943276,0.066682535,0.053811191,0.0435892,0.035442656,0.028926481,0.023695078,0.01947954,0.016070077,0.013302528,0.011048018,0.009205029,0.007693313,0.006449211,0.005422045,0.004571329,0.003864609,0.003275778,0.002783765,0.00237151,0.002025153,0.0017334,0.001487019,0.001278444,0.001101451,0.000950911,0.000826671,0.000747168,0.000706473,0.000686349,0.000676263,0.00067112,0.000668464,0.000667083,0.000666361,0.00066599,0.000665931,0.000666366,0.000667506,0.000669575,0.000672812,0.00067748
Omicron,RT-PCR,Unvaccinated,8,5.10E-24,0.000107204,0.042966621,0.293109709,0.638275185,0.883387881,0.987302115,0.985415147,0.902657301,0.771427382,0.635545762,0.513042037,0.409601459,0.325236784,0.257733964,0.204282157,0.162176181,0.129072634,0.103043685,0.082547332,0.066369574,0.053563043,0.043391767,0.035285008,0.028800137,0.023593446,0.019397483,0.016003582,0.01324845,0.011003883,0.009168885,0.007663614,0.006424727,0.005401797,0.004554532,0.003850633,0.003264116,0.002774007,0.002363322,0.002018264,0.001727589,0.001482106,0.001274279,0.001097912,0.000947898,0.000824406,0.000745947,0.000705869,0.000686048,0.000676111,0.000671041,0.000668424,0.000667062,0.00066635,0.000665977,0.000665789,0.000665786,0.000666077,0.00066678,0.000668018
Omicron,RT-PCR,Unvaccinated,9,5.43E-24,2.79E-06,0.014629123,0.168457575,0.470100965,0.751884555,0.926778322,0.993846278,0.983497033,0.900087121,0.768423981,0.632702819,0.510582774,0.40756943,0.323599194,0.25643229,0.203254952,0.161368194,0.12843753,0.10254401,0.082153419,0.066058199,0.053316135,0.043195306,0.035128123,0.028674394,0.023492289,0.019315804,0.015937389,0.013194613,0.010959941,0.009132896,0.00763404,0.006400345,0.005381631,0.004537803,0.003836713,0.003252499,0.002764285,0.002355164,0.0020114,0.001721799,0.00147721,0.001270129,0.001094386,0.000944895,0.000822166,0.000744743,0.000705274,0.000685752,0.000675961,0.000670964,0.000668384,0.000667041,0.000666339,0.000665971,0.000665779,0.000665684,0.000665701,0.000665892
Omicron,RT-PCR,Unvaccinated,10,5.68E-24,5.57E-09,0.00419258,0.089272279,0.326764566,0.607989092,0.827427,0.953517287,0.996935786,0.981685631,0.897497165,0.765419554,0.629866765,0.508132754,0.405546486,0.321969572,0.255137226,0.202233073,0.160564427,0.12780574,0.102046925,0.081761528,0.065748402,0.053070461,0.042999812,0.034971998,0.02854925,0.023391606,0.0192345,0.015871494,0.013141015,0.010916192,0.009097062,0.007604591,0.006376065,0.005361548,0.004521141,0.003822848,0.003240928,0.002754601,0.002347037,0.002004562,0.001716031,0.001472332,0.001265993,0.001090872,0.000941903,0.00081995,0.000743558,0.000704687,0.00068546,0.000675813,0.000670888,0.000668344,0.00066702,0.000666328,0.000665966,0.000665776,0.000665676,0.00066563
